"Keyword","Scopus","IFSMS"
"PACKED SORBENT",1,NA
"PACKED SORBENTS",1,NA
"PADUA POPULATION",1,NA
"PAGODA RED",1,NA
"PAH DIAGNOSTIC RATIOS",1,NA
"PAH DISSOLUTION",1,NA
"PAHS",3,NA
"PAI-A",1,NA
"PAIN",3,8
"PAIN KILLERS",1,NA
"PAIN MANAGEMENT",5,3
"PAIN MANAGEMENT DRUGS",1,NA
"PAIN MEDICATION",1,NA
"PAIN THERAPY",1,NA
"PAINKILLER TOXICITY",1,NA
"PAINT",4,4
"PAINT ANALYSIS",2,NA
"PAINT COMPOSITIONS",1,NA
"PAINT SMEAR",1,NA
"PAINT TYPES",1,NA
"PALEOECOLOGY",1,1
"PALIPERIDONE",2,NA
"PALIPERIDONE PALMITATE",1,NA
"PALIPERIDONE PALMITATE 3-MONTHLY INJECTION",1,NA
"PALLADIUM SHELL",1,1
"PALLIATIVE CARE",3,1
"PALLIATIVE MEDICINE",1,1
"PALLIATIVE PAIN THERAPY",1,NA
"PALLIDAL LESIONS",1,NA
"PALMAR FLEXION CREASES",1,NA
"PALMAR SWEAT",3,NA
"PALUDISME",1,NA
"PALUDISME DES AÉROPORTS",1,NA
"PALYNOLOGY",4,1
"PAMPA",1,NA
"PANAEOLUS",1,3
"PANCARDITIS",1,NA
"PANCHNAMA",1,NA
"PANCREATIC CANCER",1,NA
"PANCREATITIS",1,NA
"PANCURONIUM",3,NA
"PANCURONIUM BROMIDE",1,NA
"PANCURONIUM BROMIDE (PAVULON)",1,NA
"PANDEMIC",1,NA
"PANGOLINS",1,NA
"PANHYPOPITUITARISM",1,NA
"PANIC",1,NA
"PANIC ATTACK",1,NA
"PAPAVER",2,5
"PAPAVER SETIGERUM",1,2
"PAPAVER SOMNIFERUM",4,35
"PAPAVER SOMNIFERUM L.",3,11
"PAPAVERINE",1,10
"PAPAVERINE HCL",1,NA
"PAPAVERIS PERICARPIUM",1,NA
"PAPER",6,NA
"PAPER-BASED ANALYTICAL DEVICE",1,1
"PAPER-BASED DEVICES",1,NA
"PAPER-BASED ELECTRODES",1,1
"PAPER-BASED SENSORS",1,1
"PAPER ANALYSIS",1,NA
"PAPER BASED MICROFLUIDICS",1,NA
"PAPER BLOTTERS",1,NA
"PAPER CONE SPRAY IONIZATION",2,1
"PAPER CONE SPRAY IONIZATION (PCSI)",1,NA
"PAPER CURRENCY",1,3
"PAPER MICROFLUIDIC DEVICE",1,NA
"PAPER SPRAY",2,1
"PAPER SPRAY-MS",1,NA
"PAPER SPRAY IONIZATION",3,3
"PAPER SPRAY IONIZATION (PSI)",1,1
"PAPER SPRAY IONIZATION MASS SPECTROMETRY",1,1
"PAPER SPRAY IONIZATION QTOF-MS",1,1
"PAPER SPRAY MASS SPECTROMETRY",1,1
"PAPER SPRAY MASS SPECTROMETRY (PS-MS)",1,1
"PAPER SUBSTRATE",2,1
"PAPER SURFACE ENHANCED RAMAN SPECTROSCOPY",2,2
"PAPERSPRAY IONIZATION",1,NA
"PARA-AMINOHIPPURIC ACID",1,NA
"PARA-DIMETHYLAMINOCINNAMALDEHYDE",1,NA
"PARA-FLUOROFENTANYL",1,1
"PARA-METHOXYETHYLAMPHETAMINE",1,1
"PARA-METHOXYMETHAMFETAMINE",1,NA
"PARA PHENYLENE DIAMINE",1,NA
"PARACETAMOL",13,22
"PARACETAMOL AND COMBIFLAM",1,NA
"PARACHUTING",1,1
"PARADNA",1,NA
"PARADOXICAL EMBOLIZATION",1,NA
"PARADOXICAL REACTION",2,NA
"PARAESOPHAGEAL HIATUS HERNIA",1,NA
"PARAFAC",1,1
"PARAFFIN-EMBEDDED TISSUE",1,NA
"PARAFFIN EMBEDDED TISSUE",1,NA
"PARAFFINS",1,NA
"PARAHYDROGEN",1,NA
"PARALLEL",1,NA
"PARALLEL ARTIFICIAL LIQUID MEMBRANE EXTRACTION",1,1
"PARALLEL ARTIFICIAL LIQUID MEMBRANE EXTRACTION (PALME)",1,NA
"PARALLEL REACTION MONITORING",2,NA
"PARALLEL SERVICE MODEL",1,NA
"PARALYTIC SHELLFISH POISONING",1,NA
"PARALYTIC SHELLFISH TOXINS",1,NA
"PARAMEDIC",1,NA
"PARAMETHHOXYMETHAMPHETAMINE",1,NA
"PARAMETHOXYAMPHETAMINE",2,NA
"PARAMETHOXYAMPHETAMINE (PMA)",1,NA
"PARAMETHOXYMETHAMPHETAMINE",4,NA
"PARANOIA",1,NA
"PARANOID DELUSION",1,NA
"PARANOID DELUSIONS",1,NA
"PARAOXONE",1,NA
"PARAPHENYLENE DIAMINE",1,NA
"PARAPHILIA",11,NA
"PARAPHILIAS",3,NA
"PARAPHILIC DISORDER",2,NA
"PARAPHILIC DISORDERS",1,NA
"PARAQUAT",16,1
"PARAQUAT DISTRIBUTION",1,NA
"PARAQUAT HERBICIDE",1,NA
"PARASAILING",1,NA
"PARASITES",1,NA
"PARASITOSIS",1,NA
"PARASOMNIA",3,NA
"PARASOMNIA OVERLAP DISORDER",1,NA
"PARASOMNIAS",4,NA
"PARASUBICULUM",1,NA
"PARATHION",2,NA
"PARATHION POISONING",1,NA
"PARAVERTEBRAL BLOCK",1,NA
"PARCEL SCREENING",1,NA
"PARECOXIB",1,NA
"PARENT ION",1,1
"PARENTAGE",1,1
"PARENTAL EXPOSURE",1,NA
"PARENTAL ISSUE",1,NA
"PARENTAL LIABILITY",1,NA
"PARENTAL MONITORING",1,NA
"PARENTAL SUBSTANCE ABUSE",1,NA
"PARENTAL SUBSTANCE USE",1,NA
"PARENTERAL DRUG ABUSE",1,NA
"PARENTING",1,NA
"PARENTS",1,NA
"PARKINSON",1,NA
"PARKINSON'S DISEASE",4,NA
"PARKINSONISM",1,NA
"PAROLE",1,NA
"PAROLEE",1,NA
"PAROLEES",2,NA
"PAROXETINE",9,1
"PARRICIDE",6,NA
"PARTIAL DENIAL",1,NA
"PARTIAL LEAST SQUARE",1,NA
"PARTIAL LEAST SQUARE ANALYSIS (PLS)",1,NA
"PARTIAL LEAST SQUARE DISCRIMINANT ANALYSIS",1,NA
"PARTIAL LEAST SQUARES-DISCRIMINANT ANALYSIS (PLS-DA)",3,4
"PARTIAL LEAST SQUARES (PLS)",8,16
"PARTIAL LEAST SQUARES REGRESSION",2,4
"PARTICLE-PICKING",1,NA
"PARTICLE IDENTIFICATION",1,NA
"PARTICLE SIZE",4,3
"PARTICLE TRACKING",1,NA
"PARTITION COEFFICIENT",4,4
"PARTITIONING",2,NA
"PARTITIONS",1,NA
"PARVALBUMIN",1,NA
"PASSENGER",1,NA
"PASSENGER CELLS",1,NA
"PASSENGERS FATALITIES",1,NA
"PASSERINE",1,NA
"PASSIVE",1,NA
"PASSIVE ADSORPTION",2,1
"PASSIVE EXPOSURE",5,NA
"PASSIVE INHALATION",1,NA
"PASSIVE SAMPLER",1,1
"PASSIVE SMOKING",1,NA
"PATAGONIA FJORDS",1,NA
"PATCH",1,NA
"PATCH-TEST",1,NA
"PATCH CLAMP",1,NA
"PATCHES",2,NA
"PATENT",2,NA
"PATENT ANALYSIS",1,NA
"PATENT FORAMEN OVALE",1,NA
"PATENT STATISTICS",1,NA
"PATERNITY",3,1
"PATH LENGTH",1,NA
"PATHOGEN",2,NA
"PATHOGEN DETECTION",2,NA
"PATHOGENESIS",3,NA
"PATHOGENIC BACTERIA",1,NA
"PATHOGENIC MUTATION",1,NA
"PATHOGENS",1,1
"PATHOHISTOLOGY OF HEART",1,NA
"PATHOLOGIC",1,NA
"PATHOLOGIC FINDINGS",1,NA
"PATHOLOGIC/AETIOLOGY",1,NA
"PATHOLOGICAL BIOMARKERS",1,NA
"PATHOLOGICAL CARDIAC HYPERTROPHY",1,NA
"PATHOLOGICAL FINDINGS",1,NA
"PATHOLOGICAL GAMBLING",3,NA
"PATHOLOGICAL JEALOUSY",1,NA
"PATHOLOGICAL LYING",1,NA
"PATHOLOGICAL MORPHOLOGY",1,NA
"PATHOLOGICAL ORGANIZATION",1,NA
"PATHOLOGICAL SCORE",1,NA
"PATHOLOGIST RESPONSIBILITY",1,NA
"PATHOLOGISTS",1,NA
"PATHOLOGISTS’ ASSISTANTS",1,NA
"PATHOLOGY",29,NA
"PATHOLOGY AND BIOLOGY",12,NA
"PATHOLOGY OF HIV/AIDS",1,NA
"PATHOLOGY, ANALYTICAL TOXICOLOGY",1,NA
"PATHOMIMESIS",1,NA
"PATHOMORPHOLOGICAL FINDINGS",1,NA
"PATHOMORPHOLOGICAL MANIFESTATIONS OF PYRROLIDINOVALEROPHENONE POISONING.",1,NA
"PATHOPHYSIOLOGY",6,NA
"PATHWAYS TO CARE",1,NA
"PATIENT-CENTERED CARE",1,NA
"PATIENT-CONTROLLED ANALGESIA (PCA)",1,NA
"PATIENT ADVISORY COUNCIL",1,NA
"PATIENT AND STAFF PERSPECTIVES",1,NA
"PATIENT AUTONOMY",1,NA
"PATIENT CHARACTERISTICS",1,NA
"PATIENT COMPLIANCE",1,NA
"PATIENT DROPOUTS",1,NA
"PATIENT PERPETRATED VIOLENCE",1,NA
"PATIENT READMISSION",1,NA
"PATIENT RIGHTS",1,NA
"PATIENT SAFETY",4,NA
"PATIENT SAFETY CULTURE",2,NA
"PATIENT SAFETY INTERVENTION",1,NA
"PATIENT’S SAFETY",1,NA
"PATIENTS",2,NA
"PATRIARCHY",1,NA
"PATRICIDE",3,NA
"PATTERN",2,NA
"PATTERN ANALYSIS",1,1
"PATTERN EVIDENCE",1,NA
"PATTERN OF INJURIES",1,NA
"PATTERN OF INJURY",1,NA
"PATTERN OF POISONING",1,NA
"PATTERN RECOGNITION",8,13
"PATTERN RECOGNITION ALGORITHMS",1,1
"PATTERN RECOGNITION ANALYSIS",2,NA
"PATTERNED SKIN WOUNDS",1,NA
"PATTERNING",1,NA
"PATTERNS OF DRUG CONSUMPTION",1,NA
"PB-22",1,NA
"PBDE",1,NA
"PBDES",1,NA
"PBGD",1,NA
"PBPK",1,NA
"PBS",1,NA
"PC12 CELLS",1,NA
"PCA-LDA",1,NA
"PCBS",1,NA
"PCI-GC-MS",2,NA
"PCL-R",5,NA
"PCMPA",1,NA
"PCP",4,5
"PCPY",1,1
"PCR-RFLP",3,NA
"PCR AMPLIFICATION ABILITY",1,1
"PCR ARRAY",1,NA
"PCR FIDELITY",1,NA
"PCR INHIBITION",4,1
"PCR INHIBITOR",1,NA
"PCR INHIBITORS",5,NA
"PCR METHOD",1,NA
"PCR MULTIPLEX",1,NA
"PCR TYPING",1,NA
"PCSOT",1,NA
"PD (PHYSICAL DEVELOPER)",1,NA
"PD@PT CORE-SHELL NANOPARTICLES",1,NA
"PDA",1,1
"PDE-5 INHIBITORS",2,6
"PDMS",1,1
"PDQEX PHYTOGEM",1,1
"PEA15",1,NA
"PEAK HEIGHT RATIO",1,NA
"PEANUT ALLERGY",1,NA
"PEARSON",1,1
"PEARSON'S DISTANCE",1,1
"PEARSON CORRELATION",1,NA
"PECA MULTIBAND",1,NA
"PECHINI METHOD",1,NA
"PEDESTRIAN",2,NA
"PEDESTRIAN FATALITIES",1,NA
"PEDIATRIC",8,NA
"PEDIATRIC ACUTE-LIVER FAILURE",1,NA
"PEDIATRIC CONDITION FALSIFICATION",1,NA
"PEDIATRIC EMERGENCY CARE",1,NA
"PEDIATRIC EMERGENCY DEPARTMENT",1,NA
"PEDIATRIC INTENSIVE CARE UNIT",1,NA
"PEDIATRIC POISONING",1,NA
"PEDIATRIC TOXICOLOGY",2,NA
"PEDIATRICS",2,1
"PEDIATRICS EMERGENCY",1,NA
"PEDIGREE",1,1
"PEDOPHILIA",5,NA
"PEDOT",1,NA
"PEER-REVIEW NETWORKS",1,NA
"PEER COACHING",1,NA
"PEER REVIEW",1,2
"PEER SUPPORT",1,NA
"PEER SUPPORT WORKERS",1,NA
"PEERS",1,NA
"PEG",1,NA
"PEG OLIGOMERS",1,NA
"PEGANINE",1,NA
"PEGANUM HARMALA",1,4
"PEL",1,NA
"PELIOSIS",2,NA
"PELIOSIS HEPATIS",1,NA
"PELLET",1,NA
"PELLETS",1,NA
"PELVIC FRACTURE",1,NA
"PELVIC FRACTURES",1,NA
"PEMOLINE",2,1
"PEN",1,NA
"PENAL",1,NA
"PENAL DETENTION",1,NA
"PENAL RESPONSIBILITY",1,NA
"PENALLY ORDERED CARE",1,NA
"PENALTIES",1,NA
"PENBUTOLOL",1,NA
"PENCIL ELECTRODE",1,NA
"PENCIL LEAD ELECTRODE",1,NA
"PENETRATING IMPACT",1,NA
"PENETRATION",2,1
"PENFLURIDOL",1,NA
"PENICILLIN G",1,NA
"PENICILLINASE",2,NA
"PENICILLINASE-PRODUCING NEISSERIA GONORRHOAEA",1,NA
"PENILE PLETHYSMOGRAPHY",1,NA
"PENILE SWABS",1,NA
"PENINSULAR MALAYSIA",1,NA
"PENIS PEARLS",1,NA
"PENITENTIARY'S PHYSICIAN",1,NA
"PENNING IONIZATION",1,NA
"PENTACHLOROPHENOL",1,NA
"PENTACOZINE, DETECTION IN HUMAN URINE",1,NA
"PENTAE",1,NA
"PENTAERYTHRITOL",1,NA
"PENTAERYTHRITOL TETRANITRATE (PETN)",9,1
"PENTAFLUOROBENZYL",1,NA
"PENTAFLUOROBENZYL BROMIDE",1,NA
"PENTAFLUOROBENZYL DERIVATIVES",1,1
"PENTAFLUOROPHENYLPROPYL STATIONARY PHASE",1,3
"PENTAFLUOROPROPIONYL DERIVATIVE",1,NA
"PENTAMIDINE",1,NA
"PENTANUCLEOTIDE REPEAT MOTIF",1,NA
"PENTAZOCINE",4,1
"PENTEDRONE",4,6
"PENTOBARBITAL",5,4
"PENTOBARBITAL INTOXICATION",2,NA
"PENTOBARBITONE",2,1
"PENTOSIDINE",1,NA
"PENTOTHAL",1,NA
"PENTOXYVERINE",1,NA
"PENTOXYVERINE METABOLITES",1,NA
"PENTYLENETETRAZOL",1,NA
"PEPPER PRODUCTS",1,NA
"PEPPER SPRAY",6,NA
"PEPPER SPRAYS",1,NA
"PEPTIDE",8,7
"PEPTIDE ALKALOIDS",1,1
"PEPTIDE CLEAVAGE",1,NA
"PEPTIDE IDENTIFICATION",1,NA
"PEPTIDE MAPS",1,NA
"PEPTIDE METABOLISM",1,NA
"PEPTIDE SCREENING",1,NA
"PEQUI",2,2
"PER-SE LIMITS",1,NA
"PER SE LIMITS",1,NA
"PERACID OXIDATION",1,2
"PERCEIVED COERCION",2,NA
"PERCENTAGE PURITY",1,NA
"PERCENTILES",1,NA
"PERCEPTION",1,NA
"PERCHLORATE",2,NA
"PERCHLOROETHYLENE",1,NA
"PERCUTANEOUS ABSORPTION",2,NA
"PERCUTANEOUS CORONARY INTERVENTION",1,NA
"PERFLUORINATED COMPOUNDS",2,NA
"PERFLUOROACYLATION",2,7
"PERFLUOROHYDROCARBON",1,NA
"PERFLUOROOCTANOIC ACID COMPLEXATION REAGENT",1,NA
"PERFLUOROOCTANOYL",1,NA
"PERFLUOROOCTANOYL DERIVATIVE",1,NA
"PERFORATION",2,NA
"PERFORMANCE",2,1
"PERFORMANCE-ENHANCING DRUG",1,NA
"PERFORMANCE CRITERIA",1,NA
"PERFORMANCE ENHANCING DRUGS",3,3
"PERFORMANCE IMPROVEMENT",1,NA
"PERFORMANCE MANAGEMENT SYSTEMS",1,NA
"PERFORMANCE STANDARDS",2,NA
"PERFORMANCE VALIDITY TESTING",1,NA
"PERFORMANCE VALIDITY TESTS",1,NA
"PERFUSION RATES",1,NA
"PERGOLIDE",1,NA
"PERHYDROGENATED DIQUAT",1,NA
"PERHYDROGENATED PARAQUAT",1,NA
"PERI-PARTUM DEATH",1,NA
"PERICARDIAL FLUID",15,NA
"PERICARDIUM-TAMPONADE, OVERTREATMENT",1,NA
"PERIGASTRITIS",1,NA
"PERINATAL DEATH",1,NA
"PERINATAL RISK",1,NA
"PERINATAL SYNDROMES",1,NA
"PERINEAL LACERATIONS",1,NA
"PERIODONTAL DISEASE",1,NA
"PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR",1,NA
"PERIPHERAL BLOOD",11,NA
"PERIPHERAL VENOUS CATHETER",1,NA
"PERITONITIS",1,NA
"PERITONSILLAR ABSCESS",1,NA
"PERIUNGAL ERYTHEMA",1,NA
"PERLAPINE",1,NA
"PERMETHRIN",1,NA
"PERMITTIVITY",1,NA
"PEROXIDE",1,NA
"PEROXIDE EXPLOSIVES",2,NA
"PEROXYOXALATE",1,2
"PERPETRATORS",1,NA
"PERSERVATIVES",1,NA
"PERSISTENCE",1,NA
"PERSISTENCE DATA",1,NA
"PERSISTENT OFFENDERS",1,NA
"PERSISTENT ORGANIC POLLUTANTS",3,NA
"PERSON MEMORY",1,NA
"PERSONAL CARE PRODUCTS",2,1
"PERSONAL IDENTIFICATION",12,NA
"PERSONAL RIGHTS",1,NA
"PERSONAL SOCIAL NETWORK",1,NA
"PERSONALISED MEDICINE",1,NA
"PERSONALITY",9,NA
"PERSONALITY ASSESSMENT INVENTORY",2,NA
"PERSONALITY ASSESSMENT INVENTORY-ADOLESCENT",1,NA
"PERSONALITY CHANGES",1,NA
"PERSONALITY CORRELATES, MARIHUANA USAGE, 18-28 YR OLD OFFENDERS",1,NA
"PERSONALITY DETERMINANTS OF CRIMINALS' RE-ADAPTATION",1,NA
"PERSONALITY DISORDER",18,NA
"PERSONALITY DISORDERS",7,NA
"PERSONALITY FACTORS",3,NA
"PERSONALITY TRAITS",3,NA
"PERSONALIZED",1,NA
"PERSONALIZED MEDICINE",3,NA
"PERSONNEL",1,NA
"PERSONS AGED 15-50 YEARS",1,NA
"PERSONS IN CUSTODY",1,NA
"PERSPIRATION",2,NA
"PERTUSSIS",1,NA
"PERU",2,NA
"PERVASIVE DEVELOPMENTAL DISORDERS",1,NA
"PERVERSITY",1,NA
"PESTICIDE",8,NA
"PESTICIDE INTOXICATION",1,NA
"PESTICIDE POISONING",1,NA
"PESTICIDES",40,7
"PESTICIDES/ENDOCRINE DISRUPTORS",1,NA
"PET",2,NA
"PETECHIAL HEMORRHAGE",1,NA
"PETG",1,NA
"PETH",2,NA
"PETHIDINE",9,5
"PETHIDINE AND NORPETHIDINE",1,NA
"PETHIDINE, GAS CHROMATOGRAPHY-MASS SPECTROMETRY",1,NA
"PETROGENIC",1,NA
"PETROLEUM",1,1
"PETROLEUM DERIVATIVE",1,NA
"PETROLEUM DISTILLATE",1,NA
"PETROLEUM HYDROCARBONS",1,NA
"PETROLEUM HYDROCARBONS (PHC)",1,NA
"PEYOTE",2,4
"PFAS",1,NA
"PGM",1,NA
"PGM3",1,NA
"PGMI",1,NA
"PGNAA",1,NA
"PH",6,1
"PH-MEDIATED STACKING",1,1
"PH-MTOR",1,NA
"PH/ORGANIC SOLVENT GRADIENT HPLC",1,1
"PHARMACEUTIC",1,NA
"PHARMACEUTICAL ABUSE/DRUG MISUSE",2,NA
"PHARMACEUTICAL ACTIVITY",1,NA
"PHARMACEUTICAL ANALYSIS",12,33
"PHARMACEUTICAL BOTTLE",1,NA
"PHARMACEUTICAL COMPANIES",1,NA
"PHARMACEUTICAL COUNTERFEITING",1,NA
"PHARMACEUTICAL CRIMES",1,NA
"PHARMACEUTICAL DOSAGE FORMS",1,1
"PHARMACEUTICAL DRUGS",3,2
"PHARMACEUTICAL FORMULATION",4,18
"PHARMACEUTICAL INTEGRATION INITIATIVES",1,NA
"PHARMACEUTICAL LAW",2,NA
"PHARMACEUTICAL OPIOIDS",1,2
"PHARMACEUTICAL POISONS",1,NA
"PHARMACEUTICAL PREPARATION",2,8
"PHARMACEUTICAL TOXICOLOGICAL ANALYSIS",1,1
"PHARMACEUTICALS",52,79
"PHARMACEUTICALS ABUSE",1,NA
"PHARMACEUTICALS AND PERSONAL CARE PRODUCTS (PPCPS)",1,3
"PHARMACEUTICALS INDUSTRY",1,NA
"PHARMACEUTICALS USAGE",1,1
"PHARMACIES, HOSPITAL",1,NA
"PHARMACISTS",1,NA
"PHARMACOBEZOAR",1,NA
"PHARMACOBEZOARS",1,NA
"PHARMACODYNAMIC",1,NA
"PHARMACODYNAMIC INTERACTION",1,NA
"PHARMACODYNAMICS",18,8
"PHARMACOEPIDEMIOLOGY",7,9
"PHARMACOGENETICS",22,NA
"PHARMACOGENOMICS",6,NA
"PHARMACOGNOSY",3,2
"PHARMACOKINETIC DRUG INTERACTION",1,NA
"PHARMACOKINETIC INTERACTIONS",1,NA
"PHARMACOKINETIC MODEL",1,NA
"PHARMACOKINETIC MODELING",2,NA
"PHARMACOKINETIC PROFILE",1,1
"PHARMACOKINETIC STUDY",2,1
"PHARMACOKINETICS",109,21
"PHARMACOLOGIC",1,NA
"PHARMACOLOGICAL",1,NA
"PHARMACOLOGICAL AND GEOGRAPHICAL PERSPECTIVE",1,NA
"PHARMACOLOGICAL EFFECTS",1,NA
"PHARMACOLOGICAL PECULIARITIES",1,NA
"PHARMACOLOGICAL PROPERTIES",1,NA
"PHARMACOLOGICAL TREATMENT",1,NA
"PHARMACOLOGY",20,15
"PHARMACOLOGY AND THERAPEUTICS",1,NA
"PHARMACOLOGY AND TOXICOLOGY",1,3
"PHARMACOLOGY/PATHOPHYSIOLOGY",1,NA
"PHARMACOPROPHYLAXIS",1,NA
"PHARMACOTHERAPY",7,NA
"PHARMACOTOXICOLOGY",1,NA
"PHARMACOVIGILANCE",5,2
"PHARMACY",2,NA
"PHARMACY SHOPPING",1,NA
"PHARMAKOKINETICS",2,1
"PHASE-CONTRAST X-RAY IMAGING",1,1
"PHASE-II-METABOLISM",1,NA
"PHASE ANALYSIS",2,1
"PHASE I AND II METABOLITES",1,NA
"PHASE I AND PHASE II METABOLISM",1,NA
"PHASE I ENZYMES",1,NA
"PHASE I METABOLISM",1,1
"PHASE I METABOLITES",1,NA
"PHASE II METABOLITES",1,1
"PHASEOLAMIN",1,NA
"PHENACETIN",4,2
"PHENAGLYCODOL",1,NA
"PHENANTHROLINE",1,1
"PHENAZEPAM",5,2
"PHENAZONE",1,NA
"PHENAZOPYRIDINE",1,NA
"PHENCYCLIDINE",17,15
"PHENCYCLIDINE (PCP)",1,1
"PHENCYCLIDINES",1,NA
"PHENDIMETRAZINE",1,NA
"PHENETHYLAMINE",24,41
"PHENETHYLAMINE-TYPE DRUGS",1,NA
"PHENETHYLAMINE COMPOUNDS",1,NA
"PHENETHYLAMINE DERIVATIVE",1,NA
"PHENETHYLAMINE DERIVATIVES",4,2
"PHENETHYLAMINE REGIOISOMERS",1,1
"PHENETHYLAMINE DERIVATIVES",1,NA
"PHENFLURAMINE",2,NA
"PHENFORMIN",1,NA
"PHENIDATE ANALOGUES",1,NA
"PHENIDATES",1,NA
"PHENMETRAZI NE",1,NA
"PHENMETRAZIN",1,NA
"PHENMETRAZINE",4,3
"PHENMETRAZINES",1,NA
"PHENOBARBITAL",9,12
"PHENOBARBITAL—IN VITRO ADSORPTION ONTO ACTIVATED CHARCOAL, DESORPTION, BINDING",1,NA
"PHENOBARBITAL (PHENOBARBITONE)",1,NA
"PHENOBARBITONE",1,2
"PHENOCONVERSION",1,NA
"PHENOLPHTHALEIN",1,1
"PHENOLS",4,10
"PHENOMENOLOGY",1,NA
"PHENOTHIAZINE",14,12
"PHENOTHIAZINE ANTIPSYCHOTIC",1,NA
"PHENOTHIAZINE DERIVATIVES",1,NA
"PHENOTYPE",4,3
"PHENOTYPING",2,NA
"PHENOXYALKANOIC ACID HERBICIDES",1,NA
"PHENPROCOUMON",1,NA
"PHENTERMINE",4,1
"PHENYL",1,NA
"PHENYL-2-PROPANONE",2,4
"PHENYL COLUMN",1,2
"PHENYLACETIC ACID",1,2
"PHENYLALKYLAMINE",1,NA
"PHENYLALKYLAMINE DERIVATIVES",1,NA
"PHENYLALKYLAMINES",1,NA
"PHENYLBUTAZONE",1,NA
"PHENYLETHYLAMINE",3,14
"PHENYLETHYLAMINE AND DERIVATIVES",1,NA
"PHENYLETHYLAMINE DERIVATIVES",1,1
"PHENYLFENTANYL",1,NA
"PHENYLHYDRAZINE",1,NA
"PHENYLPIPERAZINES",1,2
"PHENYLPIRACETAM",1,NA
"PHENYLPROPANOLAMINE",4,7
"PHENYTOIN",4,4
"PHI29 DNA POLYMERASE",1,NA
"PHILIPPINES",1,NA
"PHLM",1,NA
"PHOLCODINE",2,NA
"PHORATE",2,NA
"PHORMIA REGINA",1,NA
"PHOSGEN INTOXICATION",1,NA
"PHOSPHATE",2,3
"PHOSPHATE ROCKS",1,NA
"PHOSPHATIDYL ETHANOL",2,NA
"PHOSPHATIDYLCHOLINE",1,NA
"PHOSPHATIDYLETHANOL",8,NA
"PHOSPHATIDYLINOSITOL 3-KINASE",1,NA
"PHOSPHINE",1,1
"PHOSPHINE GAS",2,1
"PHOSPHINE POISONING",1,NA
"PHOSPHITE",1,1
"PHOSPHO-AKT",1,NA
"PHOSPHO-PI3K",1,NA
"PHOSPHODIESTERASE",1,NA
"PHOSPHODIESTERASE-5 (PDE-5) INHIBITOR",1,6
"PHOSPHODIESTERASE 5 INHIBITORS",1,NA
"PHOSPHODIESTERASE INHIBITOR",1,NA
"PHOSPHODIESTERASE ISOENZYMES",1,NA
"PHOSPHODIESTERASE TYPE-5 (PDE-5) INHIBITORS",1,3
"PHOSPHODIESTERASE TYPE 5 INHIBITOR",2,NA
"PHOSPHOGLUCOMUTASE",1,NA
"PHOSPHOGLUCOMUTASE, SELTENE VARIANTEN",1,NA
"PHOSPHOLIPID REMOVAL",1,NA
"PHOSPHOLIPIDS",1,1
"PHOSPHONIC ACIDS",1,NA
"PHOSPHOR",1,NA
"PHOSPHORIC ACID",1,NA
"PHOSPHOROUS ACID",1,1
"PHOSPHOROUS CONTAINING AMINO ACID HERBICIDES",1,NA
"PHOSPHORS",1,NA
"PHOSPHORSÄUREESTER-VERGIFTUNG, KOMBINIERT MIT ALKOHOL",1,NA
"PHOSPHORUS",2,3
"PHOSPHORUS-CONTAINING AMINO ACID",1,NA
"PHOSPHORUS POISONING",1,NA
"PHOTO-OXIDATION",1,NA
"PHOTO DIODE ARRAY DETECTION",1,1
"PHOTOACOUSTIC",1,NA
"PHOTOACOUSTIC RESPONSE",2,NA
"PHOTOACTIVITY",1,1
"PHOTOBLEACHING",2,1
"PHOTOCHEMICAL DERIVATIZATION",1,1
"PHOTOCHEMICAL REACTION",1,NA
"PHOTOCOAGULATION",1,NA
"PHOTODEGRADATION",4,1
"PHOTODIODE-ARRAY",1,1
"PHOTODIODE ARRAY DETECTION",4,2
"PHOTODIODE ARRAY DETECTOR",1,NA
"PHOTODIODE ARRAY ULTRAVIOLET DETECTION",1,NA
"PHOTOGRAMMETRY",1,NA
"PHOTOGRAPH COMPARISON",1,NA
"PHOTOGRAPHIC PAPER",1,NA
"PHOTOGRAPHY",1,NA
"PHOTOLYSIS",1,1
"PHOTOLYTIC DERIVATIZATION",1,NA
"PHOTONIC CRYSTAL",1,NA
"PHOTONIC CRYSTAL FIBERS",1,NA
"PHOTONIC CRYSTALS",1,1
"PHOTONICS",1,NA
"PHOTOPEAK EFFICIENCY",1,NA
"PHOTORESISTIVITY",1,NA
"PHOTOSENSITIVITY",1,2
"PHTHALAMIC ACID",1,NA
"PHTHALIMIDE",1,NA
"PHYLLOMEDUSA BICOLOUR",1,NA
"PHYLOGENETIC ANALYSIS",2,4
"PHYLOGENETIC TREE",1,NA
"PHYLOGENY",5,4
"PHYSICAL ABUSE",1,NA
"PHYSICAL ACTIVITY",2,NA
"PHYSICAL AGENTS",1,NA
"PHYSICAL AND MECHANICAL PROPERTIES",1,NA
"PHYSICAL AND PSYCHOLOGICAL NEEDS",1,NA
"PHYSICAL CHARACTERISTIC",1,3
"PHYSICAL CHARACTERIZATION",1,2
"PHYSICAL CONTAINMENT",1,NA
"PHYSICAL DEVELOPER",1,NA
"PHYSICAL DEVELOPER (PD)",1,NA
